Name,Protocol,Expiry,Liquidity USD,Implied APY,Underlying APY,Categories
sNUSD,Neutrl,2026-03-05T00:00:00.000Z,35460015.71,12.11,9.9,"stables, points"
sUSDe,Ethena,2026-05-07T00:00:00.000Z,33834377.97,4.3,3.37,"stables, ethena, points"
sUSDe,Ethena,2026-04-09T00:00:00.000Z,26382073.17,4.36,3.46,"stables, ethena, points"
USDai,USD.ai,2026-03-19T00:00:00.000Z,24260068.17,7.85,0,"stables, rwa, points"
srUSDe,Strata,2026-04-02T00:00:00.000Z,21503936.52,4.08,2.19,"stables, points, ethena"
sUSDai,USD.AI,2026-03-19T00:00:00.000Z,20182095.3,6.69,5.92,"points, stables, rwa"
kHYPE,Kinetiq,2026-03-19T00:00:00.000Z,18377174.56,2.91,2.21,hype
jrUSDe,Strata,2026-04-02T00:00:00.000Z,14298895.27,7.27,7.33,"stables, points, ethena"
savUSD,Avant Protocol,2026-05-14T00:00:00.000Z,12800981.12,9.59,8.21,"stables, points"
uniBTC,Bedrock,2026-06-25T00:00:00.000Z,11627345.08,0.99,0,"btc, points"
cUSDO,OpenEden,2026-05-28T00:00:00.000Z,11530913.67,4.59,3.17,"stables, rwa"
cUSD,Cap,2026-07-23T00:00:00.000Z,9257781.13,5.22,0,"points, stables"
vkHYPE,Kinetiq,2026-03-19T00:00:00.000Z,8869538.66,3.61,3.0,hype
uniBTC,Bedrock,2026-06-25T00:00:00.000Z,8477489.51,0.97,0,"btc, points"
sYUSD,Aegis,2026-03-26T00:00:00.000Z,7504159.35,6.48,0,"points, stables"
sUSDai,USD.AI,2026-10-15T00:00:00.000Z,7403165.22,7.79,5.88,"stables, rwa, points"
slisBNBx,Lista,2026-06-25T00:00:00.000Z,7091302.05,3.22,6.82,others
reUSD,re.xyz,2026-06-25T00:00:00.000Z,7082988.95,8.74,6.26,"stables, rwa"
stcUSD,Cap,2026-07-23T00:00:00.000Z,6469474.85,4.98,4.46,"stables, points"
wstETH,Lido,2026-06-25T00:00:00.000Z,6181960.61,2.49,2.35,eth
USD (Midas mHYPER),Midas,2026-04-30T00:00:00.000Z,5968015.79,8.02,5.71,"stables, points"
sUSDai,USD.AI,2026-06-18T00:00:00.000Z,5741660.59,7.19,5.88,"stables, rwa, points"
siUSD,InfiniFi,2026-03-26T00:00:00.000Z,5205447.6,5.56,4.68,"stables, points"
USDe,Ethena,2026-04-09T00:00:00.000Z,5114377.58,3.84,0.31,"points, stables, ethena"
reUSDe,re.xyz,2026-06-25T00:00:00.000Z,4587135.97,12.99,12.73,"stables, rwa"
rswETH,Swell,2026-06-25T00:00:00.000Z,4475990.82,3.06,5.13,"points, eth"
USD (Midas mAPOLLO),Midas ,2026-04-30T00:00:00.000Z,4451214.59,7.59,7.72,"points, stables"
msY,Main Street Finance,2026-04-09T00:00:00.000Z,3499429.58,10.74,10.2,"stables, points"
DETH,Makina,2026-04-23T00:00:00.000Z,3458614.63,3.68,0,"eth, points"
coreUSDC,Upshift Finance,2026-04-30T00:00:00.000Z,3399535.77,7.06,0.0,"stables, points"
mHyperBTC,Midas,2026-04-30T00:00:00.000Z,3052591.22,5.04,0,"btc, points"
USD3,3Jane,2026-03-19T00:00:00.000Z,2949936.58,6.18,0.0,"stables, points, rwa"
HLPe,HyENA,2026-03-19T00:00:00.000Z,2876464.41,8.04,0.0,"others, points, ethena"
tmvUSDT0,Term Finance,2026-04-30T00:00:00.000Z,2858816.43,6.0,4.8,stables
mPENDLE,Penpie,2026-03-26T00:00:00.000Z,2785270.26,8.49,6.89,others
sENA,Ethena,2026-04-30T00:00:00.000Z,2704274.16,11.57,0,"points, others, ethena"
stk-ePendle,Equilibria,2026-03-26T00:00:00.000Z,2672930.29,21.62,7.63,others
jrNUSD,Strata,2026-05-28T00:00:00.000Z,2583125.94,11.34,10.63,"stables, points"
USDe,Ethena,2026-05-07T00:00:00.000Z,2511493.42,2.98,0,"stables, points, ethena"
avUSD,Avant Protocol,2026-05-14T00:00:00.000Z,2511137.78,8.47,0,"points, stables"
beHYPE,Hyperbeat,2026-03-19T00:00:00.000Z,2384433.5,2.96,2.0,"hype, points"
stHYPE,stakedhype,2026-02-26T00:00:00.000Z,2380842.51,7.36,2.38,"hype, points"
srNUSD,Strata,2026-05-28T00:00:00.000Z,2283658.15,7.9,7.16,"stables, points"
thBILL,Theo,2026-06-18T00:00:00.000Z,2283587.89,4.29,2.96,"points, stables, rwa"
weETH,Ether.fi,2026-06-25T00:00:00.000Z,2257772.11,2.43,2.56,"points, eth"
wstETH,Lido,2027-12-30T00:00:00.000Z,2203501.89,2.38,2.35,eth
sUSDf,Falcon Finance,2026-06-18T00:00:00.000Z,2202388.33,5.89,5.89,"stables, points"
hgETH,Kelp (Gain),2026-06-25T00:00:00.000Z,2097758.85,4.99,4.33,"eth, points"
rETH,Rocket Pool,2026-06-25T00:00:00.000Z,2031476.72,2.33,2.14,eth
DUSD,Makina,2026-04-23T00:00:00.000Z,2025386.3,7.86,5.29,"stables, points"
yoETH,YO,2026-03-26T00:00:00.000Z,1909605.62,6.28,9.53,"points, eth"
sUSN,Noon Capital,2026-07-30T00:00:00.000Z,1712171.96,8.15,6.69,"stables, points"
strETH,Lido,2026-03-26T00:00:00.000Z,1642748.09,3.81,1.61,"eth, points"
NUSD,Neutrl,2026-02-26T00:00:00.000Z,1634902.45,15.79,0,"stables, points"
DBIT,Makina,2026-04-23T00:00:00.000Z,1628042.46,2.74,0,"btc, points"
RLP,Resolv,2026-04-09T00:00:00.000Z,1594224.99,6.98,0,"points, others, stables"
stUSDS,Sky,2026-06-25T00:00:00.000Z,1593286.92,6.58,8.32,stables
weETH,Ether.fi,2026-06-25T00:00:00.000Z,1469960.17,2.53,2.63,"points, eth"
syzUSD,Yuzu Money,2026-04-30T00:00:00.000Z,1462116.06,8.97,8.36,"stables, points"
USDai,USD.ai,2026-10-15T00:00:00.000Z,1450740.11,6.8,0,"stables, points, rwa"
msUSD,Main Street Finance,2026-04-09T00:00:00.000Z,1322474.02,8.87,0,"stables, points"
weETHs,Ether.Fi (Symbiotic),2026-06-25T00:00:00.000Z,1196228.9,3.72,2.37,"eth, points"
satUSD+,River,2026-03-26T00:00:00.000Z,1147057.43,6.83,0,"stables, points"
rsETH,Kelp,2026-06-25T00:00:00.000Z,1134167.49,2.5,3.07,"points, eth"
upUSDC,Upshift Finance,2026-04-02T00:00:00.000Z,1116539.66,7.56,13.32,"stables, points"
yoUSD,YO,2026-03-26T00:00:00.000Z,1050023.91,8.55,12.14,"stables, points"
msyrupUSDp,Midas,2026-02-26T00:00:00.000Z,984478.17,7.2,7.93,stables
tETH,Treehouse Finance,2026-04-30T00:00:00.000Z,934299.63,3.45,2.49,"eth, points"
superUSDC,Superform,2026-04-30T00:00:00.000Z,906577.77,6.81,3.73,"stables, points"
pufETH,Puffer,2026-06-25T00:00:00.000Z,878588.1,4.08,4.96,"points, eth"
mHyperETH,Midas,2026-04-30T00:00:00.000Z,769920.26,5.8,0,"eth, points"
agETH,Kelp (Gain),2026-06-25T00:00:00.000Z,689866.28,5.14,5.39,"points, eth"
wNLP,Nunchi,2026-06-25T00:00:00.000Z,686368.74,8.53,2.36,"points, stables"
fxSAVE,f(x) Protocol,2026-04-30T00:00:00.000Z,632689.29,6.08,2.81,stables
SolvBTC.BNB,Solv Finance,2026-03-26T00:00:00.000Z,624935.12,1.35,1.27,"btc, points"
USDai,USD.ai,2026-06-18T00:00:00.000Z,573827.08,5.8,0,"stables, points, rwa"
xHYPE,Liminal,2026-02-26T00:00:00.000Z,548499.4,10.13,6.64,stables
sAID,GAIB,2026-07-30T00:00:00.000Z,544392.78,9.16,12.04,"stables, points, rwa"
swETH,Swell,2026-06-25T00:00:00.000Z,529307.43,3.33,3.62,eth
wstETH,Lido,2026-06-25T00:00:00.000Z,526267.95,2.41,2.35,eth
asdPENDLE,Stake DAO (Concentrator),2026-03-26T00:00:00.000Z,499869.02,16.73,14.07,others
asdCRV,Concentrator,2026-06-25T00:00:00.000Z,488642.22,28.26,35.27,others
sBOLD,Liquity,2026-06-25T00:00:00.000Z,460648.95,4.53,3.77,stables
uniETH,Bedrock,2026-06-25T00:00:00.000Z,456964.74,4.2,3.75,"points, eth"
nBASIS,Nest,2026-03-26T00:00:00.000Z,454152.48,7.8,3.08,"stables, points"
wstUSR,Resolv,2026-02-26T00:00:00.000Z,439890.21,8.3,0.05,"stables, points"
stHYPE AMM LP,Valantis,2026-06-04T00:00:00.000Z,436721.07,5.96,1.28,"hype, points"
ysyBOLD,Yearn,2026-05-28T00:00:00.000Z,388894.18,6.71,3.15,stables
LHYPE,HyperLend,2026-05-28T00:00:00.000Z,370132.48,4.03,2.4,"hype, points"
haHYPE,Harmonix Finance,2026-07-30T00:00:00.000Z,364941.96,4.63,2.29,"hype, points"
gUSDC,Gains Network,2026-06-25T00:00:00.000Z,363303.94,7.19,6.9,stables
hwHYPE,Hyperwave,2026-06-25T00:00:00.000Z,358135.79,4.77,2.07,"hype, points"
syrupUSDT,Maple,2026-04-30T00:00:00.000Z,354345.86,4.72,4.19,"stables, rwa"
fUSDT0,Fluid,2026-02-26T00:00:00.000Z,323149.95,7.24,7.01,stables
rsETH,Kelp,2026-06-25T00:00:00.000Z,315455.48,2.46,3.02,"points, eth"
syrupUSDC,Maple,2026-03-26T00:00:00.000Z,315106.21,4.77,4.56,"stables, rwa"
USP,Piku,2026-06-25T00:00:00.000Z,313682.81,12.97,7.57,"stables, points"
wOETH,Origin,2026-06-25T00:00:00.000Z,297229.95,3.5,2.65,eth
ynRWAx,YieldNest,2026-10-15T00:00:00.000Z,291204.51,12.41,11.35,"stables, rwa"
sUSP,Pareto,2026-06-25T00:00:00.000Z,288342.58,9.43,7.11,"stables, points, rwa"
Lido GGV,Lido,2026-03-26T00:00:00.000Z,237097.37,3.52,1.55,eth
yzUSD,Yuzu Money,2026-07-30T00:00:00.000Z,218986.51,9.09,0,"stables, points"
aUSDT0,Aave,2026-02-26T00:00:00.000Z,216131.91,7.9,2.9,stables
RLP,Resolv,2026-02-26T00:00:00.000Z,199796.44,6.62,0,"points, others, stables"
hwHLP,Hyperwave,2026-06-25T00:00:00.000Z,170382.14,6.86,1.29,"points, others"
USDf,Falcon Finance,2026-06-18T00:00:00.000Z,148970.53,5.38,0,"stables, points"
superWETH,Superform,2026-04-30T00:00:00.000Z,141013.78,5.34,2.46,"points, eth"
WHLP,Looping Collective,2026-06-25T00:00:00.000Z,133107.71,10.49,0,"points, others"
uniETH,Bedrock,2026-06-25T00:00:00.000Z,119128.82,2.65,3.68,"points, eth"
wstUSR,Resolv,2026-06-25T00:00:00.000Z,117184.07,5.93,0.34,"stables, points"
sKAITO,Kaito,2026-07-30T00:00:00.000Z,116992.35,37.66,12.0,others
wsuperOETHb,Origin,2026-06-25T00:00:00.000Z,103747.94,4.06,2.54,eth
stHYPE,stakedhype,2026-08-27T00:00:00.000Z,98317.35,5.17,2.38,"hype, points"
USD (Midas mEDGE),Midas,2026-04-30T00:00:00.000Z,93881.89,5.88,3.3,"stables, points"
USD (Midas mMEV),Midas,2026-04-30T00:00:00.000Z,91431.66,6.9,0,"stables, points"
ynBNBx,YieldNest,2026-04-16T00:00:00.000Z,91427.33,5.36,0.3,others
PlasmaUSD,Plasma,2026-04-30T00:00:00.000Z,85631.59,4.22,2.87,"stables, points"
